file,base,horizon_min,ts_utc,route,edge_maker_bp,half_spot_bp,half_perp_bp,pnl_taker_bp,pnl_maker_bp
2026-09-19.csv,HOOD,15,2026-09-18T23:23:18Z,stockroute,13.06,15.44,2.088,-54.56,-54.56
2026-09-19.csv,HOOD,15,2026-09-19T01:23:19Z,in_house,11.82,11.664,1.247,-38.66,20.15
2026-09-19.csv,HOOD,15,2026-09-19T01:42:19Z,in_house,12.66,11.664,1.664,-58.65,0.16
2026-09-19.csv,HOOD,15,2026-09-19T02:12:20Z,in_house,11.82,11.664,1.246,-47.82,14.32
2026-09-19.csv,HOOD,15,2026-09-19T02:27:20Z,in_house,14.32,13.328,0.831,-45.32,16.82
2026-09-19.csv,HOOD,15,2026-09-19T02:42:20Z,in_house,11.82,12.496,0.416,-47.82,11.82
2026-09-19.csv,HOOD,15,2026-09-19T02:57:20Z,in_house,11.82,12.496,0.416,-59.48,0.99
2026-09-19.csv,HOOD,15,2026-09-19T03:12:20Z,in_house,12.65,12.912,0.415,-37.82,25.98
2026-09-19.csv,HOOD,15,2026-09-19T03:27:20Z,in_house,15.15,14.16,0.416,-44.49,16.82
2026-09-19.csv,HOOD,15,2026-09-19T03:43:20Z,in_house,11.82,11.664,1.247,-43.66,14.32
2026-09-19.csv,HOOD,15,2026-09-19T04:35:21Z,in_house,13.49,12.081,1.666,-27.85,31.84
2026-09-19.csv,HOOD,15,2026-09-19T04:52:21Z,in_house,11.87,10.425,2.509,-62.87,-5.65
2026-09-19.csv,HOOD,15,2026-09-19T06:36:17Z,in_house,21.05,16.272,1.254,-57.05,17.71
2026-09-19.csv,HOOD,15,2026-09-19T06:51:37Z,in_house,17.71,15.019,0.836,-56.22,-4.81
2026-09-19.csv,MRVL,15,2026-09-18T20:07:17Z,stockroute,16.61,18.279,1.025,-40.88,-40.88
2026-09-19.csv,HOOD,30,2026-09-18T23:23:18Z,stockroute,13.06,15.44,2.088,-56.22,-56.22
2026-09-19.csv,HOOD,30,2026-09-19T01:23:19Z,in_house,11.82,11.664,1.247,-44.49,13.49
2026-09-19.csv,HOOD,30,2026-09-19T02:12:20Z,in_house,11.82,11.664,1.246,-42.82,16.82
2026-09-19.csv,HOOD,30,2026-09-19T02:42:20Z,in_house,11.82,12.496,0.416,-59.48,0.99
2026-09-19.csv,HOOD,30,2026-09-19T03:12:20Z,in_house,12.65,12.912,0.415,-31.16,27.65
2026-09-19.csv,HOOD,30,2026-09-19T03:43:20Z,in_house,11.82,11.664,1.247,-43.66,14.32
2026-09-19.csv,HOOD,30,2026-09-19T04:35:21Z,in_house,13.49,12.081,1.666,-34.51,24.34
2026-09-19.csv,HOOD,30,2026-09-19T06:36:17Z,in_house,21.05,16.272,1.254,-59.56,-4.81
2026-09-19.csv,MRVL,30,2026-09-18T20:07:17Z,stockroute,16.61,18.279,1.025,-39.25,-39.25
2026-09-19.csv,HOOD,60,2026-09-18T23:23:18Z,stockroute,13.06,15.44,2.088,-57.05,-39.71
2026-09-19.csv,HOOD,60,2026-09-19T01:23:19Z,in_house,11.82,11.664,1.247,-56.15,5.16
2026-09-19.csv,HOOD,60,2026-09-19T02:23:20Z,in_house,13.49,13.328,0.415,-47.82,14.32
2026-09-19.csv,HOOD,60,2026-09-19T03:23:20Z,in_house,12.65,12.912,0.415,-35.33,23.49
2026-09-19.csv,HOOD,60,2026-09-19T04:35:21Z,in_house,13.49,12.081,1.666,-35.34,21.84
2026-09-19.csv,MRVL,60,2026-09-18T20:07:17Z,stockroute,16.61,18.279,1.025,-38.03,-38.03
