ts_utc,ts_ms,date_cn,base,symbol,venue,side,level,price,size,notional_usd,cum_notional_usd
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,NVDA,RNVDAUSDT,spot,bid,1,222.57,0.5195,115.6251,115.6251
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,NVDA,RNVDAUSDT,spot,bid,2,222.55,1.2418,276.3626,391.9877
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,NVDA,RNVDAUSDT,spot,bid,3,222.4,89.28,19855.872,20247.8597
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,NVDA,RNVDAUSDT,spot,bid,4,222.34,106.56,23692.5504,43940.4101
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,NVDA,RNVDAUSDT,spot,bid,5,222.33,108.48,24118.3584,68058.7685
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,NVDA,RNVDAUSDT,spot,ask,1,222.59,99.84,22223.3856,22223.3856
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,NVDA,RNVDAUSDT,spot,ask,2,222.63,1.2902,287.2372,22510.6228
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,NVDA,RNVDAUSDT,spot,ask,3,222.64,110.4,24579.456,47090.0788
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,NVDA,RNVDAUSDT,spot,ask,4,222.65,91.8231,20444.4132,67534.492
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,NVDA,RNVDAUSDT,spot,ask,5,222.67,109.44,24369.0048,91903.4968
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,AAPL,RAAPLUSDT,spot,bid,1,336.41,0.8478,285.2084,285.2084
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,AAPL,RAAPLUSDT,spot,bid,2,336.4,1.8396,618.8414,904.0498
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,AAPL,RAAPLUSDT,spot,bid,3,336.36,0.5945,199.966,1104.0159
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,AAPL,RAAPLUSDT,spot,bid,4,336.26,1.0164,341.7747,1445.7905
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,AAPL,RAAPLUSDT,spot,bid,5,335.46,6.3,2113.398,3559.1885
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,AAPL,RAAPLUSDT,spot,ask,1,336.82,0.9156,308.3924,308.3924
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,AAPL,RAAPLUSDT,spot,ask,2,336.83,0.7224,243.326,551.7184
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,AAPL,RAAPLUSDT,spot,ask,3,336.84,2.1704,731.0775,1282.7959
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,AAPL,RAAPLUSDT,spot,ask,4,336.85,0.966,325.3971,1608.193
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,AAPL,RAAPLUSDT,spot,ask,5,336.9,1.4033,472.7718,2080.9648
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,META,RMETAUSDT,spot,bid,1,767.57,9.0418,6940.2144,6940.2144
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,META,RMETAUSDT,spot,bid,2,767.2,12.84,9850.848,16791.0624
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,META,RMETAUSDT,spot,bid,3,767.19,13.44,10311.0336,27102.096
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,META,RMETAUSDT,spot,bid,4,767.14,10.68,8193.0552,35295.1512
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,META,RMETAUSDT,spot,bid,5,767.13,9.6,7364.448,42659.5992
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,META,RMETAUSDT,spot,ask,1,768.06,12.72,9769.7232,9769.7232
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,META,RMETAUSDT,spot,ask,2,768.21,14.28,10970.0388,20739.762
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,META,RMETAUSDT,spot,ask,3,768.31,14.76,11340.2556,32080.0176
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,META,RMETAUSDT,spot,ask,4,768.48,56.64,43526.7072,75606.7248
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,META,RMETAUSDT,spot,ask,5,768.95,51.312,39456.3624,115063.0872
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,TSLA,TSLAUSDT,perp,bid,1,376.86,63.4,23892.924,23892.924
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,TSLA,TSLAUSDT,perp,bid,2,376.85,16.7,6293.395,30186.319
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,TSLA,TSLAUSDT,perp,bid,3,376.84,6.38,2404.2392,32590.5582
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,TSLA,TSLAUSDT,perp,bid,4,376.83,88.09,33194.9547,65785.5129
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,TSLA,TSLAUSDT,perp,bid,5,376.82,5.87,2211.9334,67997.4463
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,TSLA,TSLAUSDT,perp,ask,1,376.87,0.38,143.2106,143.2106
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,TSLA,TSLAUSDT,perp,ask,2,376.88,0.21,79.1448,222.3554
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,TSLA,TSLAUSDT,perp,ask,3,376.89,0.59,222.3651,444.7205
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,TSLA,TSLAUSDT,perp,ask,4,376.9,1.39,523.891,968.6115
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,TSLA,TSLAUSDT,perp,ask,5,376.91,44.6,16810.186,17778.7975
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,AAPL,AAPLUSDT,perp,bid,1,336.81,42.97,14472.7257,14472.7257
2026-09-24T16:00:03.267Z,1790265603267,2026-09-25,AAPL,AAPLUSDT,perp,bid,2,336.8,39.47,13293.496,27766.2217
